時間,年份,月份,日期,Aircraft_Type,對照中文,機型分類,Num,Coordinates
20221210,2022,12,10,BZK-005,BZK-5,無人偵察機,1,"['LINESTRING (117.78106791740561 22.937739332192358, 119.51017896363354 21.33981513491862, 119.56757684068674 21.39612964407364, 117.8241163251955 23.001093154991757)']"
20221211,2022,12,11,ç¡åµ-7æ©,無偵-7機,無人偵察機,1,"['LINESTRING (117.29318596245332 21.05824258914351, 118.19002779140972 21.05824258914351, 118.19002779140972 21.1567929801648, 117.29318596245332 21.1567929801648)', 'LINESTRING (117.29318596245332 21.255343371186086, 117.94608681393358 21.255343371186086, 117.94608681393358 21.353893762207374, 117.29318596245332 21.353893762207374)', 'LINESTRING (117.29318596245332 21.45244415322866, 117.60887428624598 21.45244415322866, 117.60887428624598 21.543955230605572, 117.29318596245332 21.543955230605572)', 'LINESTRING (117.05641971960883 22.52945914081845, 118.78553076583677 21.635466307982483, 118.83575390825833 21.72697738535939, 117.09229339276709 22.628009531839737)', 'LINESTRING (121.55497833365412 26.879754973043866, 121.99263714618485 26.55594654540249, 122.0572097578697 26.640418309135026, 121.61237621070734 26.9642267367764)']"
20221211,2022,12,11,ç©ºè­¦-500æ©,空警-500機,空中預警機,1,"['LINESTRING (117.29318596245332 21.05824258914351, 118.19002779140972 21.05824258914351, 118.19002779140972 21.1567929801648, 117.29318596245332 21.1567929801648)', 'LINESTRING (117.29318596245332 21.255343371186086, 117.94608681393358 21.255343371186086, 117.94608681393358 21.353893762207374, 117.29318596245332 21.353893762207374)', 'LINESTRING (117.29318596245332 21.45244415322866, 117.60887428624598 21.45244415322866, 117.60887428624598 21.543955230605572, 117.29318596245332 21.543955230605572)', 'LINESTRING (117.05641971960883 22.52945914081845, 118.78553076583677 21.635466307982483, 118.83575390825833 21.72697738535939, 117.09229339276709 22.628009531839737)', 'LINESTRING (121.55497833365412 26.879754973043866, 121.99263714618485 26.55594654540249, 122.0572097578697 26.640418309135026, 121.61237621070734 26.9642267367764)']"
20221211,2022,12,11,è½-6æ©,轟-6機,戰略轟炸機,1,"['LINESTRING (117.29318596245332 21.05824258914351, 118.19002779140972 21.05824258914351, 118.19002779140972 21.1567929801648, 117.29318596245332 21.1567929801648)', 'LINESTRING (117.29318596245332 21.255343371186086, 117.94608681393358 21.255343371186086, 117.94608681393358 21.353893762207374, 117.29318596245332 21.353893762207374)', 'LINESTRING (117.29318596245332 21.45244415322866, 117.60887428624598 21.45244415322866, 117.60887428624598 21.543955230605572, 117.29318596245332 21.543955230605572)', 'LINESTRING (117.05641971960883 22.52945914081845, 118.78553076583677 21.635466307982483, 118.83575390825833 21.72697738535939, 117.09229339276709 22.628009531839737)', 'LINESTRING (121.55497833365412 26.879754973043866, 121.99263714618485 26.55594654540249, 122.0572097578697 26.640418309135026, 121.61237621070734 26.9642267367764)']"
20221211,2022,12,11,BZK-005,BZK-5,無人偵察機,1,"['LINESTRING (117.29318596245332 21.05824258914351, 118.19002779140972 21.05824258914351, 118.19002779140972 21.1567929801648, 117.29318596245332 21.1567929801648)', 'LINESTRING (117.29318596245332 21.255343371186086, 117.94608681393358 21.255343371186086, 117.94608681393358 21.353893762207374, 117.29318596245332 21.353893762207374)', 'LINESTRING (117.29318596245332 21.45244415322866, 117.60887428624598 21.45244415322866, 117.60887428624598 21.543955230605572, 117.29318596245332 21.543955230605572)', 'LINESTRING (117.05641971960883 22.52945914081845, 118.78553076583677 21.635466307982483, 118.83575390825833 21.72697738535939, 117.09229339276709 22.628009531839737)', 'LINESTRING (121.55497833365412 26.879754973043866, 121.99263714618485 26.55594654540249, 122.0572097578697 26.640418309135026, 121.61237621070734 26.9642267367764)']"
20221211,2022,12,11,æ®²-11æ©,殲-11機,戰鬥機,2,"['LINESTRING (117.29318596245332 21.05824258914351, 118.19002779140972 21.05824258914351, 118.19002779140972 21.1567929801648, 117.29318596245332 21.1567929801648)', 'LINESTRING (117.29318596245332 21.255343371186086, 117.94608681393358 21.255343371186086, 117.94608681393358 21.353893762207374, 117.29318596245332 21.353893762207374)', 'LINESTRING (117.29318596245332 21.45244415322866, 117.60887428624598 21.45244415322866, 117.60887428624598 21.543955230605572, 117.29318596245332 21.543955230605572)', 'LINESTRING (117.05641971960883 22.52945914081845, 118.78553076583677 21.635466307982483, 118.83575390825833 21.72697738535939, 117.09229339276709 22.628009531839737)', 'LINESTRING (121.55497833365412 26.879754973043866, 121.99263714618485 26.55594654540249, 122.0572097578697 26.640418309135026, 121.61237621070734 26.9642267367764)']"
20221212,2022,12,12,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (117.1640407390836 23.036289723213642, 118.1182804450932 21.902960226468835, 118.18285305677807 21.966314049268234, 117.22861335076846 23.085564918724288)']"
20221213,2022,12,13,è½-6æ©,轟-6機,戰略轟炸機,18,"['LINESTRING (117.34340910487488 21.382051016784885, 117.93891207930193 20.91041700261158, 117.99630995635513 20.987849452699734, 117.39363224729644 21.480601407806173)', 'LINESTRING (117.33623437024323 21.43132621229553, 117.65192269403587 21.43132621229553, 117.65192269403587 21.522837289672438, 117.35058383950653 21.522837289672438)', 'LINESTRING (117.40798171655975 22.89550345032609, 118.4124445649909 21.811449149091924, 118.46984244204411 21.867763658246947, 117.4725543282446 22.944778645836735)', 'LINESTRING (117.55865114382442 22.99405384134738, 118.55593925762393 21.902960226468835, 118.60616240004549 21.959274735623858, 117.62322375550927 23.043329036858022)']"
20221213,2022,12,13,æ®²-11æ©,殲-11機,戰鬥機,1,"['LINESTRING (117.34340910487488 21.382051016784885, 117.93891207930193 20.91041700261158, 117.99630995635513 20.987849452699734, 117.39363224729644 21.480601407806173)', 'LINESTRING (117.33623437024323 21.43132621229553, 117.65192269403587 21.43132621229553, 117.65192269403587 21.522837289672438, 117.35058383950653 21.522837289672438)', 'LINESTRING (117.40798171655975 22.89550345032609, 118.4124445649909 21.811449149091924, 118.46984244204411 21.867763658246947, 117.4725543282446 22.944778645836735)', 'LINESTRING (117.55865114382442 22.99405384134738, 118.55593925762393 21.902960226468835, 118.60616240004549 21.959274735623858, 117.62322375550927 23.043329036858022)']"
20221213,2022,12,13,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (117.34340910487488 21.382051016784885, 117.93891207930193 20.91041700261158, 117.99630995635513 20.987849452699734, 117.39363224729644 21.480601407806173)', 'LINESTRING (117.33623437024323 21.43132621229553, 117.65192269403587 21.43132621229553, 117.65192269403587 21.522837289672438, 117.35058383950653 21.522837289672438)', 'LINESTRING (117.40798171655975 22.89550345032609, 118.4124445649909 21.811449149091924, 118.46984244204411 21.867763658246947, 117.4725543282446 22.944778645836735)', 'LINESTRING (117.55865114382442 22.99405384134738, 118.55593925762393 21.902960226468835, 118.60616240004549 21.959274735623858, 117.62322375550927 23.043329036858022)']"
20221213,2022,12,13,é-8æåµæ©,運-8技偵機,偵察機、反潛偵察機、電戰機,1,"['LINESTRING (117.34340910487488 21.382051016784885, 117.93891207930193 20.91041700261158, 117.99630995635513 20.987849452699734, 117.39363224729644 21.480601407806173)', 'LINESTRING (117.33623437024323 21.43132621229553, 117.65192269403587 21.43132621229553, 117.65192269403587 21.522837289672438, 117.35058383950653 21.522837289672438)', 'LINESTRING (117.40798171655975 22.89550345032609, 118.4124445649909 21.811449149091924, 118.46984244204411 21.867763658246947, 117.4725543282446 22.944778645836735)', 'LINESTRING (117.55865114382442 22.99405384134738, 118.55593925762393 21.902960226468835, 118.60616240004549 21.959274735623858, 117.62322375550927 23.043329036858022)']"
20221214,2022,12,14,é-8æåµæ©,運-8技偵機,偵察機、反潛偵察機、電戰機,1,"['LINESTRING (117.55147640919276 22.99405384134738, 118.55593925762393 21.902960226468835, 118.60616240004549 21.959274735623858, 117.61604902087763 23.0503683505024)']"
20221216,2022,12,16,æ®²-11æ©,殲-11機,戰鬥機,1,"['LINESTRING (117.35058383950653 21.1567929801648, 117.65192269403587 21.1567929801648, 117.65192269403587 21.24830405754171, 117.35058383950653 21.24830405754171)']"
20221220,2022,12,20,BZK-007,BZK-7,無人偵察機,1,"['LINESTRING (117.135341800557 22.99405384134738, 117.63757322477258 22.564655709040338, 117.72367004035239 22.663206100061625, 117.22143861613681 23.092604232368664)', 'LINESTRING (117.25013755466341 21.234225430252952, 117.71649530572074 21.234225430252952, 117.71649530572074 21.403168957718016, 117.25013755466341 21.403168957718016)', 'LINESTRING (117.27883649319001 23.374176778143774, 119.16579170131428 21.39612964407364, 119.25906325152575 21.487640721450553, 117.36493330876984 23.47976648280944)']"
20221220,2022,12,20,è½-6æ©,轟-6機,戰略轟炸機,4,"['LINESTRING (117.135341800557 22.99405384134738, 117.63757322477258 22.564655709040338, 117.72367004035239 22.663206100061625, 117.22143861613681 23.092604232368664)', 'LINESTRING (117.25013755466341 21.234225430252952, 117.71649530572074 21.234225430252952, 117.71649530572074 21.403168957718016, 117.25013755466341 21.403168957718016)', 'LINESTRING (117.27883649319001 23.374176778143774, 119.16579170131428 21.39612964407364, 119.25906325152575 21.487640721450553, 117.36493330876984 23.47976648280944)']"
20221220,2022,12,20,é-8é å¹²æ©,運-8遠干機,電戰機,1,"['LINESTRING (117.135341800557 22.99405384134738, 117.63757322477258 22.564655709040338, 117.72367004035239 22.663206100061625, 117.22143861613681 23.092604232368664)', 'LINESTRING (117.25013755466341 21.234225430252952, 117.71649530572074 21.234225430252952, 117.71649530572074 21.403168957718016, 117.25013755466341 21.403168957718016)', 'LINESTRING (117.27883649319001 23.374176778143774, 119.16579170131428 21.39612964407364, 119.25906325152575 21.487640721450553, 117.36493330876984 23.47976648280944)']"
20221221,2022,12,21,é-8æåµæ©,運-8技偵機,偵察機、反潛偵察機、電戰機,1,"['LINESTRING (117.02054604645058 22.719520609216648, 118.3837456264643 21.417247585006773, 118.44831823814916 21.480601407806173, 117.09229339276709 22.782874432016047)', 'LINESTRING (117.15686600445196 22.853267568459824, 118.49854138057071 21.529876603316815, 118.57028872688723 21.60026973976059, 117.22143861613681 22.9236607049036)', 'LINESTRING (117.26448702392672 22.979975214058623, 118.64203607320374 21.64250562162686, 118.71378341952025 21.712898758070637, 117.30036069708497 23.0503683505024)', 'LINESTRING (117.37928277803313 23.09964354601304, 118.75683182731017 21.783291894514413, 118.82857917362668 21.85368503095819, 117.42233118582304 23.1770759961012)']"
20221221,2022,12,21,é-8é å¹²æ©,運-8遠干機,電戰機,1,"['LINESTRING (117.02054604645058 22.719520609216648, 118.3837456264643 21.417247585006773, 118.44831823814916 21.480601407806173, 117.09229339276709 22.782874432016047)', 'LINESTRING (117.15686600445196 22.853267568459824, 118.49854138057071 21.529876603316815, 118.57028872688723 21.60026973976059, 117.22143861613681 22.9236607049036)', 'LINESTRING (117.26448702392672 22.979975214058623, 118.64203607320374 21.64250562162686, 118.71378341952025 21.712898758070637, 117.30036069708497 23.0503683505024)', 'LINESTRING (117.37928277803313 23.09964354601304, 118.75683182731017 21.783291894514413, 118.82857917362668 21.85368503095819, 117.42233118582304 23.1770759961012)']"
20221221,2022,12,21,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (117.02054604645058 22.719520609216648, 118.3837456264643 21.417247585006773, 118.44831823814916 21.480601407806173, 117.09229339276709 22.782874432016047)', 'LINESTRING (117.15686600445196 22.853267568459824, 118.49854138057071 21.529876603316815, 118.57028872688723 21.60026973976059, 117.22143861613681 22.9236607049036)', 'LINESTRING (117.26448702392672 22.979975214058623, 118.64203607320374 21.64250562162686, 118.71378341952025 21.712898758070637, 117.30036069708497 23.0503683505024)', 'LINESTRING (117.37928277803313 23.09964354601304, 118.75683182731017 21.783291894514413, 118.82857917362668 21.85368503095819, 117.42233118582304 23.1770759961012)']"
20221221,2022,12,21,BZK-005,BZK-5,無人偵察機,1,"['LINESTRING (117.02054604645058 22.719520609216648, 118.3837456264643 21.417247585006773, 118.44831823814916 21.480601407806173, 117.09229339276709 22.782874432016047)', 'LINESTRING (117.15686600445196 22.853267568459824, 118.49854138057071 21.529876603316815, 118.57028872688723 21.60026973976059, 117.22143861613681 22.9236607049036)', 'LINESTRING (117.26448702392672 22.979975214058623, 118.64203607320374 21.64250562162686, 118.71378341952025 21.712898758070637, 117.30036069708497 23.0503683505024)', 'LINESTRING (117.37928277803313 23.09964354601304, 118.75683182731017 21.783291894514413, 118.82857917362668 21.85368503095819, 117.42233118582304 23.1770759961012)']"
20221222,2022,12,22,å½©è¹4ç¡äººæ©,彩虹4無人機,無人偵察機,1,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221222,2022,12,22,ç©ºè­¦-500æ©,空警-500機,空中預警機,2,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221222,2022,12,22,æ®²-16æ©,殲-16機,戰鬥機,21,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221222,2022,12,22,éæ²¹-20,運油-20機,空中加油機,1,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221222,2022,12,22,è½-6æ©,轟-6機,戰略轟炸機,4,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221222,2022,12,22,ç´-9åæ½æ©,直-9反潛機,反潛直升機,1,"['LINESTRING (121.29668788691468 26.8375190911776, 121.78456984186697 26.330688508782405, 121.84196771892017 26.37996370429305, 121.36126049859953 26.87271565939949)', 'MULTILINESTRING ((117.27883649319001 21.42428689865115, 118.11110571046156 20.88225974803407, 118.15415411825147 20.952652884477846, 117.32188490097992 21.487640721450553), (117.26448702392672 21.867763658246947, 120.94512588996378 20.91041700261158, 122.25092759292428 21.61434836704935, 122.93252738293116 21.33981513491862, 122.93252738293116 21.487640721450553, 122.3226749392408 21.755134639936905, 120.93795115533212 21.001928079988488, 117.36493330876984 21.9451961083351))', 'MULTILINESTRING ((117.60887428624598 23.036289723213642, 118.10393097582991 22.515380513529696, 118.16132885288312 22.571695022684715, 117.66627216329918 23.07852560507991), (117.23578808540012 21.698820130781883, 120.92360168606882 20.741473475146513, 122.23657812366099 21.45948346687304, 122.9110031790362 21.170871607453556, 122.9110031790362 21.346854448562997, 122.30832546997749 21.593230426116214, 120.92360168606882 20.84706317981218, 117.32188490097992 21.79033120815879))', 'LINESTRING (117.23578808540012 22.03670718571201, 120.92360168606882 21.072321216432265, 122.25810232755595 21.783291894514413, 122.9253526482995 21.49468003509493, 122.9253526482995 21.66362356255999, 122.28680126608255 21.931117481046346, 120.92360168606882 21.170871607453556, 117.31471016634828 22.121178949444545)', 'LINESTRING (117.29318596245332 22.184532772243944, 121.00969850164863 21.220146802964198, 122.28680126608255 21.931117481046346, 122.9684010560894 21.64250562162686, 122.9684010560894 21.804409835447547, 122.37289808166236 22.078943067578276, 120.97382482849038 21.318697193985486, 117.37928277803313 22.269004535976475)', 'LINESTRING (118.84292864288997 22.1352575767333, 119.0151222740496 21.95223542197948, 119.07252015110282 22.0085499311345, 118.90032651994319 22.19157208588832)']"
20221223,2022,12,23,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (117.20708914687351 22.909582077614843, 118.59898766541383 21.565073171538707, 118.67073501173034 21.635466307982483, 117.25013755466341 22.972935900414242)', 'LINESTRING (117.32188490097992 23.036289723213642, 118.71378341952025 21.712898758070637, 118.77835603120512 21.776252580870036, 117.38645751266479 23.09964354601304)']"
20221223,2022,12,23,BZK-005,BZK-5,無人偵察機,1,"['LINESTRING (117.20708914687351 22.909582077614843, 118.59898766541383 21.565073171538707, 118.67073501173034 21.635466307982483, 117.25013755466341 22.972935900414242)', 'LINESTRING (117.32188490097992 23.036289723213642, 118.71378341952025 21.712898758070637, 118.77835603120512 21.776252580870036, 117.38645751266479 23.09964354601304)']"
20221225,2022,12,25,BZK-005,BZK-5,無人偵察機,1,"['LINESTRING (117.75236897887899 22.909582077614843, 119.48148002510693 21.31165788034111, 119.5604021060551 21.39612964407364, 117.81694159056386 23.001093154991757)']"
20221226,2022,12,26,ç¡åµ-7æ©,無偵-7機,無人偵察機,1,"['LINESTRING (117.1640407390836 21.37501170314051, 118.65638554246705 21.37501170314051, 118.65638554246705 21.45244415322866, 117.1640407390836 21.45244415322866)', 'LINESTRING (117.1640407390836 21.55803385789433, 118.65638554246705 21.55803385789433, 118.65638554246705 21.635466307982483, 117.1640407390836 21.635466307982483)', 'MULTILINESTRING ((117.1640407390836 21.734016699003767, 117.72367004035239 21.734016699003767, 117.72367004035239 21.804409835447547, 117.1640407390836 21.804409835447547), (118.11110571046156 23.500884423742573, 118.52006558446567 23.09964354601304, 118.57028872688723 23.16299736881244, 118.18285305677807 23.529041678320084), (119.65367365626656 25.049533425505665, 120.05545879563903 24.648292547776137, 120.11285667269223 24.70460705693116, 119.71824626795141 25.091769307371933))', 'MULTILINESTRING ((118.21155199530467 23.613513442052614, 118.61333713467714 23.219311877967463, 118.6635602770987 23.26858707347811, 118.26894987235788 23.655749323918883), (119.76129467574133 25.190319698393218, 120.17025454974545 24.78907882066369, 120.22765242679866 24.845393329818712, 119.82586728742619 25.232555580259486))', 'MULTILINESTRING ((119.87609042984775 25.302948716703263, 120.28505030385186 24.901707838973735, 120.33527344627342 24.950983034484377, 119.93348830690095 25.345184598569528), (121.35408576396789 26.823440463888844, 121.76304563797201 26.429238899803693, 121.81326878039357 26.485553408958715, 121.41865837565275 26.865676345755112))', 'LINESTRING (121.24646474449312 26.710811445578802, 121.65542461849724 26.31660988149365, 121.7056477609188 26.37996370429305, 121.31103735617799 26.753047327445067)', 'LINESTRING (117.4725543282446 22.83214962752669, 118.29764881088448 21.959274735623858, 118.37657089183266 22.03670718571201, 117.54430167456111 22.89550345032609)', 'LINESTRING (117.60887428624598 22.987014527703, 118.44831823814916 22.114139635800164, 118.52006558446567 22.19157208588832, 117.68062163256249 23.064446977791157)', 'LINESTRING (121.1316689903867 26.584103799980003, 121.9567634730266 25.7957006718097, 122.00698661544814 25.844975867320343, 121.18189213280826 26.640418309135026)']"
