時間,年份,月份,日期,Aircraft_Type,對照中文,機型分類,Num,Coordinates
20220804,2022,8,4,æ®²-11æ©,殲-11機,戰鬥機,8,"['LINESTRING (120.8231554012257 26.126548413095453, 121.1603679289133 25.80977929909846, 121.04557217480689 25.68307165349966, 120.71553438175093 25.999840767496654)', 'LINESTRING (118.17567832214641 23.44456991458755, 118.51289084983402 23.155958055168064, 118.42679403425421 23.071486291435534, 118.09675624119825 23.35305883721064)', 'LINESTRING (118.0034846909868 23.28970501441124, 118.33352248404275 22.99405384134738, 118.26177513772623 22.909582077614843, 117.93173734467028 23.184115309745575)']"
20220804,2022,8,4,æ®²-16æ©,殲-16機,戰鬥機,2,"['LINESTRING (120.8231554012257 26.126548413095453, 121.1603679289133 25.80977929909846, 121.04557217480689 25.68307165349966, 120.71553438175093 25.999840767496654)', 'LINESTRING (118.17567832214641 23.44456991458755, 118.51289084983402 23.155958055168064, 118.42679403425421 23.071486291435534, 118.09675624119825 23.35305883721064)', 'LINESTRING (118.0034846909868 23.28970501441124, 118.33352248404275 22.99405384134738, 118.26177513772623 22.909582077614843, 117.93173734467028 23.184115309745575)']"
20220805,2022,8,5,èæ·-30æ©,蘇愷-30機,戰鬥機,24,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,æ®²-11æ©,殲-11機,戰鬥機,6,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,é-8é å¹²æ©,運-8遠干機,電戰機,1,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,æ®²-10æ©,殲-10機,戰鬥機,7,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,æ®²-16æ©,殲-16機,戰鬥機,10,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220806,2022,8,6,èæ·-30æ©,蘇愷-30機,戰鬥機,10,"['LINESTRING (121.30386262154633 26.668575563712537, 121.62672567997063 26.358845763359916, 121.52627939512752 26.239177431405498, 121.20341633670321 26.55594654540249)', 'LINESTRING (121.11014478649176 26.422199586159316, 121.44735731417936 26.126548413095453, 121.37560996786284 26.027998022074165, 121.03122270554358 26.323649195138028)', 'LINESTRING (117.67344689793083 23.07852560507991, 117.99630995635513 22.761756491082913, 117.89586367151202 22.663206100061625, 117.57300061308771 22.979975214058623)', 'LINESTRING (117.4582048589813 22.944778645836735, 118.10393097582991 22.233807967754586, 118.03935836414504 22.170454144955187, 117.37928277803313 22.909582077614843)', 'LINESTRING (117.1927396776102 22.078943067578276, 117.64474795940423 22.078943067578276, 117.64474795940423 21.931117481046346, 117.1927396776102 21.931117481046346)']"
20220806,2022,8,6,æ®²-11æ©,殲-11機,戰鬥機,4,"['LINESTRING (121.30386262154633 26.668575563712537, 121.62672567997063 26.358845763359916, 121.52627939512752 26.239177431405498, 121.20341633670321 26.55594654540249)', 'LINESTRING (121.11014478649176 26.422199586159316, 121.44735731417936 26.126548413095453, 121.37560996786284 26.027998022074165, 121.03122270554358 26.323649195138028)', 'LINESTRING (117.67344689793083 23.07852560507991, 117.99630995635513 22.761756491082913, 117.89586367151202 22.663206100061625, 117.57300061308771 22.979975214058623)', 'LINESTRING (117.4582048589813 22.944778645836735, 118.10393097582991 22.233807967754586, 118.03935836414504 22.170454144955187, 117.37928277803313 22.909582077614843)', 'LINESTRING (117.1927396776102 22.078943067578276, 117.64474795940423 22.078943067578276, 117.64474795940423 21.931117481046346, 117.1927396776102 21.931117481046346)']"
20220806,2022,8,6,æ®²-16æ©,殲-16機,戰鬥機,4,"['LINESTRING (121.30386262154633 26.668575563712537, 121.62672567997063 26.358845763359916, 121.52627939512752 26.239177431405498, 121.20341633670321 26.55594654540249)', 'LINESTRING (121.11014478649176 26.422199586159316, 121.44735731417936 26.126548413095453, 121.37560996786284 26.027998022074165, 121.03122270554358 26.323649195138028)', 'LINESTRING (117.67344689793083 23.07852560507991, 117.99630995635513 22.761756491082913, 117.89586367151202 22.663206100061625, 117.57300061308771 22.979975214058623)', 'LINESTRING (117.4582048589813 22.944778645836735, 118.10393097582991 22.233807967754586, 118.03935836414504 22.170454144955187, 117.37928277803313 22.909582077614843)', 'LINESTRING (117.1927396776102 22.078943067578276, 117.64474795940423 22.078943067578276, 117.64474795940423 21.931117481046346, 117.1927396776102 21.931117481046346)']"
20220806,2022,8,6,é-8åæ½æ©,運-8反潛機,反潛偵察機,1,"['LINESTRING (121.30386262154633 26.668575563712537, 121.62672567997063 26.358845763359916, 121.52627939512752 26.239177431405498, 121.20341633670321 26.55594654540249)', 'LINESTRING (121.11014478649176 26.422199586159316, 121.44735731417936 26.126548413095453, 121.37560996786284 26.027998022074165, 121.03122270554358 26.323649195138028)', 'LINESTRING (117.67344689793083 23.07852560507991, 117.99630995635513 22.761756491082913, 117.89586367151202 22.663206100061625, 117.57300061308771 22.979975214058623)', 'LINESTRING (117.4582048589813 22.944778645836735, 118.10393097582991 22.233807967754586, 118.03935836414504 22.170454144955187, 117.37928277803313 22.909582077614843)', 'LINESTRING (117.1927396776102 22.078943067578276, 117.64474795940423 22.078943067578276, 117.64474795940423 21.931117481046346, 117.1927396776102 21.931117481046346)']"
20220806,2022,8,6,é-20å æ²¹æ©,運油-20機,空中加油機,1,"['LINESTRING (121.30386262154633 26.668575563712537, 121.62672567997063 26.358845763359916, 121.52627939512752 26.239177431405498, 121.20341633670321 26.55594654540249)', 'LINESTRING (121.11014478649176 26.422199586159316, 121.44735731417936 26.126548413095453, 121.37560996786284 26.027998022074165, 121.03122270554358 26.323649195138028)', 'LINESTRING (117.67344689793083 23.07852560507991, 117.99630995635513 22.761756491082913, 117.89586367151202 22.663206100061625, 117.57300061308771 22.979975214058623)', 'LINESTRING (117.4582048589813 22.944778645836735, 118.10393097582991 22.233807967754586, 118.03935836414504 22.170454144955187, 117.37928277803313 22.909582077614843)', 'LINESTRING (117.1927396776102 22.078943067578276, 117.64474795940423 22.078943067578276, 117.64474795940423 21.931117481046346, 117.1927396776102 21.931117481046346)']"
