order,type,src,country,version,category,id_num,id_content,group_detail,shape,data,geojson,unique_labels,file_name,urls,first_page_content,if_宮古海峽,if_遼寧艦,if_山東艦
11,LineString,p20220803_03_r_cropped_resized,china,new,arrow,$11$,7/3122時台（北上）_056A型江島級輕型護衛艦 （615）,,arrow,ship,"{'type': 'LineString', 'coordinates': [[122.73208745503369, 26.34831464016631], [122.73208745503369, 27.03222009188877]]}",['056A型江島級輕型護衛艦 '],p20220803_03.pdf,https://www.mod.go.jp/js/pdf/2022/p20220803_03.pdf,------令和４年８月３日統合幕僚監部---（お知らせ）中国海軍艦艇の動向について---海上自衛隊は、令和４年７月２７日（水）から３１日（日）までの間、中国海軍ジャンダオ級小型フリゲート１隻（艦番号「６１５」）が、魚釣島（沖縄県）西方約１２０ｋｍから約７０ｋｍまでの海域を南北に遊弋していることを確認した。その後、同月３１日午後１０時頃には、当該艦艇が魚釣島の北西約１８０ｋｍの海域を北進していることを確認した。なお、当該艦艇は、同月２２日（金）に魚釣島の西約８０ｋｍの海域において確認され、与那国島（沖縄県）と台湾との間の海域を南進し、太平洋に向けて航行した後、同月２７日（水）に魚釣島の西約７０ｋｍの海域を北進したものと同一である。防衛省・自衛隊は、海上自衛隊第７護衛隊所属「ゆうだち」（大湊）及び第５航空群所属「Ｐ－３Ｃ」（那覇）により、情報収集・警戒監視を行った。------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,,,
12,LineString,p20220804_01_r_cropped_resized,china,old,arrow,$12$,8/1_636A型調查船（25）,,arrow,ship,"{'type': 'LineString', 'coordinates': [[122.40935574219331, 23.99962795332072], [122.40935574219331, 25.4769251908431]]}",['636A型調查船'],p20220804_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220804_01.pdf,------令和４年８月４日統合幕僚監部---（お知らせ）中国海軍艦艇の動向について---令和４年８月３日（水）午前６時頃、海上自衛隊は、久米島（沖縄県）の北西約１６０ｋｍの海域において、同海域を南東進する中国海軍シュパン級測量艦１隻（艦番号「２５」）を確認した。その後、当該艦艇が沖縄本島と宮古島との間の海域を南東進して太平洋に進出したことを確認した。なお、当該艦艇は、８月１日（月）に与那国島の南方海域において確認され、その後、与那国島と台湾との間の海域を北進したものと同一である。防衛省・自衛隊は、海上自衛隊第１航空群所属「Ｐ－１」（鹿屋）、第５航空群所属「Ｐ－３Ｃ」（那覇）及び第２護衛隊所属「あさひ」（佐世保）により、情報収集・警戒監視を行った。---------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,,,
13,LineString,p20220804_01_r_cropped_resized,china,new,arrow,$13$,8/3_636A型調查船（25）,,arrow,ship,"{'type': 'LineString', 'coordinates': [[125.24222299934792, 26.34831464016631], [126.66463314112595, 25.13091100164291]]}",['636A型調查船'],p20220804_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220804_01.pdf,------令和４年８月４日統合幕僚監部---（お知らせ）中国海軍艦艇の動向について---令和４年８月３日（水）午前６時頃、海上自衛隊は、久米島（沖縄県）の北西約１６０ｋｍの海域において、同海域を南東進する中国海軍シュパン級測量艦１隻（艦番号「２５」）を確認した。その後、当該艦艇が沖縄本島と宮古島との間の海域を南東進して太平洋に進出したことを確認した。なお、当該艦艇は、８月１日（月）に与那国島の南方海域において確認され、その後、与那国島と台湾との間の海域を北進したものと同一である。防衛省・自衛隊は、海上自衛隊第１航空群所属「Ｐ－１」（鹿屋）、第５航空群所属「Ｐ－３Ｃ」（那覇）及び第２護衛隊所属「あさひ」（佐世保）により、情報収集・警戒監視を行った。---------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
14,LineString,p20220804_01_r_cropped_resized,china,old,arrow,$14$,7/27_636A型調查船（23）（25）,,arrow,ship,"{'type': 'LineString', 'coordinates': [[126.2343241906721, 29.13197807729766], [127.05908301237532, 29.850317986413923]]}",['636A型調查船'],p20220804_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220804_01.pdf,------令和４年８月４日統合幕僚監部---（お知らせ）中国海軍艦艇の動向について---令和４年８月３日（水）午前６時頃、海上自衛隊は、久米島（沖縄県）の北西約１６０ｋｍの海域において、同海域を南東進する中国海軍シュパン級測量艦１隻（艦番号「２５」）を確認した。その後、当該艦艇が沖縄本島と宮古島との間の海域を南東進して太平洋に進出したことを確認した。なお、当該艦艇は、８月１日（月）に与那国島の南方海域において確認され、その後、与那国島と台湾との間の海域を北進したものと同一である。防衛省・自衛隊は、海上自衛隊第１航空群所属「Ｐ－１」（鹿屋）、第５航空群所属「Ｐ－３Ｃ」（那覇）及び第２護衛隊所属「あさひ」（佐世保）により、情報収集・警戒監視を行った。---------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,,,
15,LineString,p20220804_01_r_cropped_resized,china,old,arrow,$15$,7/28_636A型調查船（23）（25）,,arrow,ship,"{'type': 'LineString', 'coordinates': [[131.31436041130797, 31.04635963822922], [132.39013278744264, 30.9233139002895]]}",['636A型調查船'],p20220804_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220804_01.pdf,------令和４年８月４日統合幕僚監部---（お知らせ）中国海軍艦艇の動向について---令和４年８月３日（水）午前６時頃、海上自衛隊は、久米島（沖縄県）の北西約１６０ｋｍの海域において、同海域を南東進する中国海軍シュパン級測量艦１隻（艦番号「２５」）を確認した。その後、当該艦艇が沖縄本島と宮古島との間の海域を南東進して太平洋に進出したことを確認した。なお、当該艦艇は、８月１日（月）に与那国島の南方海域において確認され、その後、与那国島と台湾との間の海域を北進したものと同一である。防衛省・自衛隊は、海上自衛隊第１航空群所属「Ｐ－１」（鹿屋）、第５航空群所属「Ｐ－３Ｃ」（那覇）及び第２護衛隊所属「あさひ」（佐世保）により、情報収集・警戒監視を行った。---------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,,,
16,MultiLineString,p20220805_01,china,new,group,$143$,BZK-005偵察型無人機（1機）,arrow,arrow,flight,"{'type': 'MultiLineString', 'coordinates': [[[123.77178423236514, 29.0840588357962], [124.10788381742738, 28.787337570507393], [126.20850622406637, 25.22691169156647], [126.23651452282155, 24.1568745894972], [122.52074688796681, 22.047895322235945]], [[121.99792531120332, 21.708428255778017], [121.71784232365144, 21.542542686415153], [121.47510373443983, 21.235154860966066], [121.76452282157673, 21.301671763769313], [126.36721991701243, 24.10801950028517], [126.36721991701243, 25.28339802751653], [123.79979253112032, 28.630828023299003]]]}",['BZK-005偵察型無人機'],p20220805_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220805_01.pdf,------令和４年８月５日統合幕僚監部---（お知らせ）中国機の動向について---令和４年８月４日（木）午前から夜にかけて、中国の偵察型無人機（ＢＺＫ-００５）１機及び偵察／攻撃型無人機（ＴＢ－００１）1機が東シナ海方面から飛来し、沖縄本島と宮古島との間を通過して太平洋に至り、先島諸島の南の太平洋上で旋回後、反転し、再び沖縄本島と宮古島との間を通過し、東シナ海に至ったことを確認した。また、推定中国の無人機（推定）１機が東シナ海から飛来し、台湾北東沖の公海上空を旋回飛行していることを確認した。これらに対し、航空自衛隊の南西航空方面隊の戦闘機を緊急発進させ対応した。------------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
17,LineString,p20220805_01,china,new,group,$143$,BZK-005偵察型無人機（1機）,polygon-stroke,polygon-stroke,flight,"{'type': 'LineString', 'coordinates': [[122.08195020746886, 21.799583984814234], [122.08195020746886, 22.097505505341626], [122.42738589211618, 22.097505505341626], [122.42738589211618, 21.799583984814234], [122.08195020746886, 21.799583984814234], [122.08195020746886, 21.799583984814234]]}",['BZK-005偵察型無人機'],p20220805_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220805_01.pdf,------令和４年８月５日統合幕僚監部---（お知らせ）中国機の動向について---令和４年８月４日（木）午前から夜にかけて、中国の偵察型無人機（ＢＺＫ-００５）１機及び偵察／攻撃型無人機（ＴＢ－００１）1機が東シナ海方面から飛来し、沖縄本島と宮古島との間を通過して太平洋に至り、先島諸島の南の太平洋上で旋回後、反転し、再び沖縄本島と宮古島との間を通過し、東シナ海に至ったことを確認した。また、推定中国の無人機（推定）１機が東シナ海から飛来し、台湾北東沖の公海上空を旋回飛行していることを確認した。これらに対し、航空自衛隊の南西航空方面隊の戦闘機を緊急発進させ対応した。------------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
18,MultiLineString,p20220805_01,china,new,group,$144$,TB-001偵察/攻撃型無人機（1機）,arrow,arrow,flight,"{'type': 'MultiLineString', 'coordinates': [[[123.26763485477176, 28.285685418637364], [127.03008298755185, 24.61195099895975], [126.18983402489626, 23.847144766302048], [125.50829875518673, 23.544852805505332], [124.75207468879665, 23.544852805505332], [123.37966804979251, 22.73261120259152], [122.16597510373443, 23.0121168552831], [122.25, 23.33201430478814]], [[122.09128630705393, 23.266456705109523], [122.01659751037343, 22.897095972319736], [122.79149377593362, 22.707921375295907]], [[123.2116182572614, 22.600880714826104], [123.454356846473, 22.534968111022355], [126.07780082987549, 23.977648168894255], [126.77800829875517, 24.660611735618875], [123.23029045643152, 28.12056201987105]]]}",['TB-001偵察/攻撃型無人機'],p20220805_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220805_01.pdf,------令和４年８月５日統合幕僚監部---（お知らせ）中国機の動向について---令和４年８月４日（木）午前から夜にかけて、中国の偵察型無人機（ＢＺＫ-００５）１機及び偵察／攻撃型無人機（ＴＢ－００１）1機が東シナ海方面から飛来し、沖縄本島と宮古島との間を通過して太平洋に至り、先島諸島の南の太平洋上で旋回後、反転し、再び沖縄本島と宮古島との間を通過し、東シナ海に至ったことを確認した。また、推定中国の無人機（推定）１機が東シナ海から飛来し、台湾北東沖の公海上空を旋回飛行していることを確認した。これらに対し、航空自衛隊の南西航空方面隊の戦闘機を緊急発進させ対応した。------------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
19,LineString,p20220805_01,china,new,group,$144$,TB-001偵察/攻撃型無人機（1機）,polygon-stroke,polygon-stroke,flight,"{'type': 'LineString', 'coordinates': [[122.16597510373443, 23.397539566003083], [122.34336099585063, 23.977648168894255], [122.52074688796681, 23.92056914921375], [122.34336099585063, 23.348398654549207], [122.16597510373443, 23.397539566003083], [122.16597510373443, 23.397539566003083]]}",['TB-001偵察/攻撃型無人機'],p20220805_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220805_01.pdf,------令和４年８月５日統合幕僚監部---（お知らせ）中国機の動向について---令和４年８月４日（木）午前から夜にかけて、中国の偵察型無人機（ＢＺＫ-００５）１機及び偵察／攻撃型無人機（ＴＢ－００１）1機が東シナ海方面から飛来し、沖縄本島と宮古島との間を通過して太平洋に至り、先島諸島の南の太平洋上で旋回後、反転し、再び沖縄本島と宮古島との間を通過し、東シナ海に至ったことを確認した。また、推定中国の無人機（推定）１機が東シナ海から飛来し、台湾北東沖の公海上空を旋回飛行していることを確認した。これらに対し、航空自衛隊の南西航空方面隊の戦闘機を緊急発進させ対応した。------------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
20,LineString,p20220805_01,china,new,group,$144$,TB-001偵察/攻撃型無人機（1機）,polygon-stroke,polygon-stroke,flight,"{'type': 'LineString', 'coordinates': [[122.9128630705394, 22.6173539390143], [123.08091286307054, 23.1926658379545], [123.24896265560164, 23.1516533016328], [123.08091286307054, 22.56792835208054], [122.9128630705394, 22.6173539390143], [122.9128630705394, 22.6173539390143]]}",['TB-001偵察/攻撃型無人機'],p20220805_01.pdf,https://www.mod.go.jp/js/pdf/2022/p20220805_01.pdf,------令和４年８月５日統合幕僚監部---（お知らせ）中国機の動向について---令和４年８月４日（木）午前から夜にかけて、中国の偵察型無人機（ＢＺＫ-００５）１機及び偵察／攻撃型無人機（ＴＢ－００１）1機が東シナ海方面から飛来し、沖縄本島と宮古島との間を通過して太平洋に至り、先島諸島の南の太平洋上で旋回後、反転し、再び沖縄本島と宮古島との間を通過し、東シナ海に至ったことを確認した。また、推定中国の無人機（推定）１機が東シナ海から飛来し、台湾北東沖の公海上空を旋回飛行していることを確認した。これらに対し、航空自衛隊の南西航空方面隊の戦闘機を緊急発進させ対応した。------------------------統合幕僚監部報道発表資料https://www.mod.go.jp/js/,宮古海峽,,
